"Date","Pl","Tag","Q","Stms","Str","Crl","Dne","Straight","Curled","Done","Note","Old_note"
2020-08-23,1,1667,"x",,0,0,2,,,,,"check prev (q) 2nd is not new"
2020-08-23,1,1854,"",,0,0,2,,,,,""
2020-08-23,3,1691,"",,0,0,3,,,,,""
2020-08-23,3,1698,"","3",0,0,8,,,,,""
2020-08-23,5,1789,"",,0,0,1,,,,,""
2020-08-23,6,1526,"",,0,0,0,,,,,"pv tomorrow"
2020-08-23,6,1563,"",,,,,,,,,""
2020-08-23,8,1639,"",,0,0,8,,,,,""
2020-08-23,18,1655,"",,0,0,6,,,,,""
2020-08-23,18,1673,"",,0,0,6,,,,,""
2020-08-19,19,1657,"",,0,0,6,,,,,"pv in plot"
2020-08-23,19,1805,"",,0,0,1,,,,,""
2020-08-23,31,1507,"x",,0,0,3,,,,,"check prev; not new"
2020-08-19,32,1878,"",,0,0,1,,,,,"1879"
2020-08-23,33,1641,"",,0,0,2,,,,,"check untagged PV in SE corner"
2020-08-23,33,1735,"",,0,0,1,,,,,""
2020-08-23,33,1890,"",,0,0,1,,,,,"is not 1641"
2020-08-23,50,1771,"",,,,,,,,,"can't find"
2020-08-23,50,1811,"",,0,0,1,,,,,"done is purple…"
2020-08-23,64,1674,"",,0,0,3,,,,,""
2020-08-23,67,1829,"",,0,0,1,,,,,""
2020-08-23,71,1512,"",,0,0,7,,,,,""
2020-08-23,71,1580,"",,1,0,1,,,,,""
2020-08-23,74,1638,"",,0,0,4,,,,,""
2020-08-23,75,1632,"",,1,0,0,,,,,""
2020-08-23,78,1884,"","1",1,0,0,,,,,""
2020-08-23,83,1755,"",,0,0,5,,,,,""
2020-08-23,86,1625,"",,0,0,2,,,,,"grazed"
