"Harvest_Date","Plot","Fruit_Pres","Fruit_Coll","Last_Date","Tag","Last_Info","Last_Note","Harvest_Note"
,6,,,"6/28/21",1128,"1:3","",
,6,,,"6/28/21",1211,"1:4","",
,6,,,"7/1/21",1165,"1:2","",
,6,,,"7/5/21",1149,"0:0","",
,7,,,"7/5/21",1210,"1:1","",
,8,,,"6/28/21",1139,"1:2","",
,8,,,"6/28/21",1313,"1:2","",
,8,,,"6/28/21",1143,"1:2","",
,8,,,"6/28/21",1157,"1:1","",
,8,,,"7/5/21",1307,"1:2","",
,37,,,"6/28/21",1148,"0:0","",
,37,,,"6/28/21",1140,"1:2","",
,37,,,"6/28/21",1185,"0:0","",
,37,,,"7/5/21",1137,"1:12","",
,59,,,"6/28/21",1025,"0:0","",
,59,,,"7/5/21",1145,"2:8","",
,59,,,"7/5/21",1142,"1:7","",
,62,,,"6/28/21",1045,"1:2","",
,62,,,"6/28/21",1255,"1:2","",
,62,,,"7/5/21",1181,"1:3","an empty calyx",
,73,,,"6/28/21",1127,"1:5","",
,73,,,"6/28/21",1135,"1:4","",
,73,,,"6/28/21",1133,"1:5","",
,73,,,"7/5/21",1132,"1:6","",
,73,,,"7/5/21",1107,"1:4","",
,73,,,"7/5/21",1280,"1:8","",
,74,,,"7/5/21",1258,"1:4","stem broke",
,74,,,"7/5/21",1223,"1:10","",
