"Plot","Tag","Date","Treatment","Color","Flowers_treated","Fruit_painted","Repaint_date","Fruit_unpainted","Notes"
104,2089,"6/27/22","Addition","Teal",2,,,,
104,2091,"6/27/22","Control","Yellow",1,,,,
105,2101,"7/12/22","Control","Gray",1,,,,
105,2114,"7/5/22","Addition","Red",4,,,,
105,2142,"7/5/22","Addition","Red",3,,,,
105,2101,"7/5/22","Control","Pale blue",2,,,,
111,2016,"6/20/22","Control","Rock",2,,,,
117,2131,"7/12/22","Addition","Pacific blue",2,,,,
118,2024,"6/20/22","Addition","Orange",4,,,,
118,2025,"6/20/22","Addition","Orange",2,,,,
118,2041,"6/27/22","Control","Yellow",2,,,,
123,2097,"7/5/22","Control","Pale blue",1,,,,
127,2027,"6/20/22","Control","Rock",5,,,,
127,2001,"6/27/22","Addition","Teal",8,,,,
130,2140,"7/12/22","Addition","Pacific blue",3,,,,
130,2164,"7/12/22","Control","Gray",5,,,,
130,2140,"7/5/22","Addition","Red",2,,,,
133,2165,"7/12/22","Addition","Pacific blue",1,,,,
133,2151,"7/12/22","Addition","Pacific blue",3,,,,
133,2152,"7/12/22","Control","Gray",4,,,,
138,2053,"7/7/22","Addition","Red",4,,,,
146,2155,"7/12/22","Addition","Pacific blue",3,,,,
146,2148,"7/12/22","Control","Gray",3,,,,
146,2145,"7/7/22","Addition","Red",4,,,,
146,2141,"7/7/22","Control","Pale blue",5,,,,
146,2148,"7/7/22","Control","Pale blue",2,,,,
147,2099,"7/7/22","Addition","Red",3,,,,
149,2073,"6/20/22","Control","Rock",2,,,,
149,2093,"6/20/22","Control","Rock",1,,,,
149,2111,"7/7/22","Addition","Red",4,,,,
150,2136,"7/12/22","Addition","Pacific blue",2,,,,
150,2123,"7/12/22","Control","Gray",2,,,,
150,2143,"7/12/22","Control","Gray",2,,,,
150,2128,"7/7/22","Control","Pale blue",3,,,,
151,2121,"7/12/22","Addition","Pacific blue",3,,,,
151,2139,"7/12/22","Control","Gray",2,,,,
151,2110,"7/7/22","Addition","Red",4,,,,
151,2121,"7/7/22","Control","Pale blue",1,,,,
152,2018,"6/20/22","Addition","Orange",2,,,,
152,2072,"6/20/22","Addition","Orange",3,,,,
152,2070,"6/27/22","Addition","Teal",5,,,,
152,2119,"6/27/22","Addition","Teal",3,,,,
152,2018,"6/27/22","Control","Yellow",1,,,,
152,2033,"6/27/22","Control","Yellow",1,,,,
152,2063,"6/27/22","Control","Yellow",3,,,,
152,2073,"6/27/22","Control","Yellow",1,,,,
152,2132,"7/12/22","Control","Gray",1,,,,
152,2127,"7/7/22","Control","Pale blue",2,,,,
153,2153,"7/12/22","Addition","Pacific blue",2,,,,
153,2115,"7/7/22","Addition","Red",4,,,,
154,2090,"6/20/22","Addition","Orange",1,,,,
154,2043,"6/20/22","Control","Rock",3,,,,
154,2047,"6/27/22","Addition","Teal",5,,,,
154,2074,"6/27/22","Control","Yellow",3,,,,
154,2134,"7/7/22","Addition","Red",1,,,,
154,2130,"7/7/22","Control","Pale blue",3,,,,
154,2113,"7/7/22","Control","Pale blue",1,,,,
163,2035,"6/20/22","Control","Rock",3,,,,
163,2038,"6/20/22","Control","Rock",3,,,,
163,2038,"6/27/22","Addition","Teal",1,,,,
163,2084,"6/27/22","Addition","Teal",3,,,,
163,2103,"6/27/22","Addition","Teal",1,,,,
163,2076,"6/27/22","Control","Yellow",5,,,,
163,2082,"6/27/22","Control","Yellow",3,,,,
163,2106,"6/27/22","Control","Yellow",3,,,,
164,2071,"6/20/22","Addition","Orange",2,,,,
164,2003,"6/20/22","Control","Rock",4,,,,
164,2050,"6/20/22","Control","Rock",4,,,,
164,2054,"6/27/22","Addition","Teal",7,,,,
164,2003,"6/27/22","Control","Yellow",3,,,,
168,2088,"6/27/22","Addition","Teal",2,,,,
169,2023,"6/20/22","Addition","Orange",2,,,,
169,2034,"6/20/22","Addition","Orange",3,,,,
169,2080,"6/20/22","Addition","Orange",3,,,,
169,2006,"6/20/22","Control","Rock",2,,,,
169,2034,"6/27/22","Addition","Teal",2,,,,
169,2086,"6/27/22","Control","Yellow",4,,,,
170,2032,"6/20/22","Addition","Orange",2,,,,
170,2037,"6/20/22","Addition","Orange",3,,,,
170,2008,"6/20/22","Control","Rock",1,,,,
170,2042,"6/20/22","Control","Rock",4,,,,
170,2085,"6/27/22","Addition","Teal",2,,,,
170,2011,"6/27/22","Control","Yellow",2,,,,
