"Plot","Tag","Q","N_infl","Fl_open","Fl_done","Done","Last_date","Old_info","Old_q","Old_notes"
104,"2089",,,,,"done","7/7/22","1;0;2",,""
104,"2091",,,,,"done","7/4/22","1;0;2",,""
105,"2101",,,,,,"7/7/22","1;3;0",,""
105,"2114",,,,,,"7/7/22","1;8;0",,""
105,"2129",,,,,,"7/7/22","1;1;0",,""
105,"2142",,,,,,"7/7/22","1;3;0",,""
105,"2149",,,,,,"7/7/22","1;1;0",,""
107,"2118",,,,,,"7/7/22","1;0;7",,""
109,"2107",,,,,,"7/4/22","NA;NA;NA",,"can't find"
117,"2131",,,,,,"7/7/22","0;0;0",,"yv"
118,"2041",,,,,"done","7/4/22","2;0;11",,""
123,"2097",,,,,,"7/7/22","1;0;5",,""
127,"2001",,,,,,"7/7/22","3;0;21",,""
127,"2027",,,,,"done","7/7/22","2;0;18",,""
130,"2112",,,,,,"7/7/22","1;5;2",,""
130,"2140",,,,,,"7/7/22","1;4;0",,""
133,"UC",,,,,,"7/7/22","0;0;0",,"yv; u center"
133,"UE",,,,,,"7/7/22","0;0;0",,"yv; u E"
133,"UNE",,,,,,"7/7/22","0;0;0",,"yv; u NE"
138,"2053",,,,,,"7/7/22","1;6;2",,""
146,"2137",,,,,,"7/7/22","0;0;0",,"yv"
146,"2141",,,,,,"7/7/22","2;7;0",,""
146,"2145",,,,,,"7/7/22","1;6;0",,""
146,"2148",,,,,,"7/7/22","1;2;0",,""
147,"2099",,,,,,"7/7/22","1;4;4",,""
149,"2056",,,,,,"7/7/22","2;1;8",,""
149,"2069",,,,,,"7/7/22","4;0;18",,""
149,"2111",,,,,,"7/7/22","1;4;0",,""
149,"2133",,,,,,"7/7/22","1;0;3",,""
149,"2059",,,,,"done","7/7/22","1;0;3",,""
149,"2061",,,,,"done","7/7/22","1;0;1",,""
149,"2093",,,,,"done","7/4/22","1;0;2",,""
149,"2094",,,,,"done","7/4/22","1;0;4",,""
150,"2123",,,,,,"7/7/22","0;0;0",,"yv"
150,"2128",,,,,,"7/7/22","1;3;0",,""
150,"2136",,,,,,"7/7/22","1;2;0",,""
150,"2143",,,,,,"7/7/22","1;1;0",,""
151,"2110",,,,,,"7/7/22","1;7;0",,""
151,"2121",,,,,,"7/7/22","1;11;0",,"yv"
151,"2135",,,,,,"7/7/22","0;0;0",,"fl fell off"
151,"2139",,,,,,"7/7/22","0;0;0",,"yv"
151,"2146",,,,,,"7/7/22","0;0;0",,"yv"
151,"UC",,,,,,"7/7/22","0;0;0",,"yv; u center"
151,"USW",,,,,,"7/7/22","0;0;0",,"yv; u SW"
152,"2051",,,,,,"7/7/22","2;0;8",,""
152,"2127",,,,,,"7/7/22","1;2;1",,""
152,"2132",,,,,,"7/7/22","1;6;0",,""
152,"2033",,,,,"done","7/4/22","1;0;6",,""
152,"2063",,,,,"done","7/7/22","2;0;8",,""
152,"2065",,,,,"done","7/7/22","2;0;7",,""
152,"2070",,,,,"done","7/7/22","2;0;4",,""
152,"2072",,,,,"done","7/7/22","2;0;9",,""
152,"2073",,,,,"done","7/4/22","1;0;3",,"unable to find second infl"
152,"2095",,,,,"done","7/7/22","1;0;3",,""
152,"2100",,,,,"done","7/7/22","1;0;1",,""
152,"2108",,,,,"done","7/4/22","1;0;1",,""
152,"2119",,,,,"done","7/7/22","1;0;3",,""
153,"2115",,,,,,"7/7/22","1;6;1",,""
153,"UNW",,,,,,"7/7/22","0;0;0",,"yv; u NW"
154,"2043",,,,,,"7/7/22","2;5;12",,""
154,"2113",,,,,,"7/7/22","1;1;0",,""
154,"2130",,,,,,"7/7/22","1;3;0",,""
154,"2134",,,,,,"7/7/22","1;1;0",,""
154,"2047",,,,,"done","7/7/22","1;0;9",,""
154,"2074",,,,,"done","7/7/22","1;0;3",,""
154,"2090",,,,,"done","7/7/22","1;0;2",,"stem partially eaten?"
154,"2102",,,,,"done","7/7/22","1;0;2",,""
158,"2147",,,,,,"7/7/22","0;0;0",,"yv"
162,"2026",,,,,,"7/7/22","2;5;0",,""
162,"2109",,,,,,"7/7/22","0;0;0",,"yv"
163,"2064",,,,,,"7/7/22","2;1;7",,""
163,"2076",,,,,,"7/7/22","3;1;4",,""
163,"2087",,,,,,"7/7/22","1;0;4",,""
163,"2106",,,,,,"7/7/22","1;0;6",,""
163,"2122",,,,,,"7/7/22","2;2;3",,""
163,"2150",,,,,,"7/7/22","1;0;1",,""
163,"2009",,,,,"done","7/7/22","1;0;4",,""
163,"2035",,,,,"done","7/7/22","1;0;6",,""
163,"2038",,,,,"done","7/7/22","1;0;6",,""
163,"2075",,,,,"done","7/7/22","2;0;12",,""
163,"2082",,,,,"done","7/7/22","2;0;5",,""
163,"2084",,,,,"done","7/7/22","2;0;7",,""
163,"2098",,,,,"done","7/7/22","3;0;7",,""
163,"2103",,,,,"done","7/7/22","1;0;1",,""
163,"2117",,,,,"done","7/4/22","1;0;1",,""
163,"2125",,,,,"done","7/7/22","1;0;3",,""
164,"2015",,,,,,"7/7/22","3;0;14",,""
164,"2058",,,,,,"7/7/22","1;0;6",,""
164,"2071",,,,,,"7/7/22","2;1;8",,""
164,"2003",,,,,"done","7/7/22","1;0;11",,""
164,"2020",,,,,"done","7/4/22","3;0;21",,""
164,"2039",,,,,"done","7/4/22","1;0;8",,""
164,"2045",,,,,"done","7/7/22","2;0;17",,""
164,"2050",,,,,"done","7/4/22","1;0;8",,""
164,"2054",,,,,"done","7/7/22","3;0;15",,""
164,"2081",,,,,"done","7/7/22","1;0;8",,""
164,"2083",,,,,"done","7/7/22","3;0;18",,""
164,"2116",,,,,"done","7/7/22","1;0;2",,""
166,"2104",,,,,,"7/7/22","2;2;2",,"2 florivorized"
166,"2120",,,,,"done","7/7/22","1;0;1",,""
166,"2144",,,,,"done","7/4/22","0;0;0",,"grazed"
168,"2088",,,,,,"7/7/22","1;0;5",,"one falling off"
169,"2011",,,,,,"7/4/22","NA;NA;NA",,""
169,"2034",,,,,"done","7/4/22","1;0;9",,""
169,"2086",,,,,"done","7/7/22","1;0;8",,""
170,"2002",,,,,"done","7/7/22","3;0;13",,""
170,"2011",,,,,"done","7/4/22","1;0;5",,""
170,"2013",,,,,"done","7/7/22","3;0;10",,""
170,"2037",,,,,"done","7/4/22","1;0;4",,""
170,"2052",,,,,"done","7/7/22","2;0;5",,""
170,"2066",,,,,"done","7/4/22","1;0;5",,"one falling off"
170,"2077",,,,,"done","7/4/22","1;0;6",,""
170,"2085",,,,,"done","7/7/22","2;0;5",,"incl. one empty calyx"
170,"2092",,,,,"done","7/4/22","1;0;1",,""
170,"2105",,,,,"done","7/7/22","1;0;1",,""
