sensor,lat,long,elev,hori_prec,vert_prec,pdop,vdop
ngcp_u_002,40.03867307N,105.56108971W,3164.216,,,,
ngcp_u_010,40.03787205N,105.56063048W,3146.38,,,,
ngcp_u_008,40.03669900N,105.56100648W,3148.969,,,,
ngcp_u_006,40.03669360N,105.56341667W,3165.2,,,,
ngcp_u_013,40.03742232N,105.56397674W,3165.738,,,,
ngcp_u_005-2,40.03750104N,105.56302911W,3158.487,,,,
ngcp_u_014,40.03838861N,105.56401063W,3169.484,,,,
ngcp_u_003,40.03864532N,105.56351593W,3169.528,,,,
ngcp_u_004,40.03837042N,105.56298105W,3162.537,,,,
ngcp_u_007,40.03743436N,105.56170736W,3154.211,,,,
ngcp_u_001,40.03838110N,105.56158001W,3158.101,,,,
scott_sen_002,40.03087816N,105.54004525W,2943.025,0.137,0.163,1.9,1.6
scott_sen_022,40.03142780N,105.54029074W,2945.862,0.337,0.448,13.5,12.5
scott_sen_019,40.03159559N,105.54004485W,2943.744,0.369,0.402,1.7,1.5
scott_sen_016,40.03173723N,105.54062242W,2957.103,0.329,0.472,2.7,2.3
scott_sen_006,40.03088230N,105.54070786W,2955.062,0.342,0.402,1.6,1.4
scott_sen_033,40.03091501N,105.54142345W,2970.463,0.275,0.452,4.6,3.7
scott_sen_025,40.03121951N,105.54123411W,2962.758,0.396,0.5,2.1,1.7
scott_sen_039,40.03147716N,105.54128900W,2966.407,0.343,0.474,6,5.8
scott_sen_048,40.03177465N,105.54222915W,2985.648,0.484,0.929,3,2.7
scott_sen_057,40.03135780N,105.54343174W,3009.752,0.189,0.449,1.6,1.4
scott_sen_063,40.03108390N,105.54333325W,3007.263,0.214,0.492,2.2,1.9
scott_sen_077,40.03068016N,105.54303369W,3000.134,0.302,0.364,3,2.8
scott_sen_075,40.03044792N,105.54271992W,2992.829,0.36,0.453,2.2,1.8
scott_sen_067,40.03080554N,105.54237624W,2987.403,0.37,0.497,2.1,1.8
scott_sen_062,40.03110963N,105.54258403W,2992.798,0.459,0.49,1.7,1.5
scott_sen_070,40.03044139N,105.54202081W,2979.529,0.382,0.487,1.7,1.5
